There are 51040 points in the circle, out of a total of 65536 points in the square.
The best possible approximation for pi is 3.11523

p: 600239       q: 600983       n = p*q: 360733434937   seed: 430521001

k: 0	s: 430521001	 aceCnt: 1	 succ: 0	  approx: nan	 aceCnt2: 1	 succ2: 0	  approx2: nan
k: 10000000	s: 31985472842	 aceCnt: 4999316	 succ: 486552	  approx: 3.11393	 aceCnt2: 4998353	 succ2: 486694	  approx2: 3.11484
k: 20000000	s: 233176130905	 aceCnt: 9999895	 succ: 973076	  approx: 3.11384	 aceCnt2: 9999304	 succ2: 973936	  approx2: 3.1166
k: 30000000	s: 11801461359	 aceCnt: 14998071	 succ: 1460410	  approx: 3.11554	 aceCnt2: 14998743	 succ2: 1460406	  approx2: 3.11553
k: 40000000	s: 196692107447	 aceCnt: 19997922	 succ: 1947579	  approx: 3.11613	 aceCnt2: 19999360	 succ2: 1946703	  approx2: 3.11472
k: 50000000	s: 335083093223	 aceCnt: 24997028	 succ: 2434794	  approx: 3.11654	 aceCnt2: 24996966	 succ2: 2433225	  approx2: 3.11453
k: 60000000	s: 325831758165	 aceCnt: 29999093	 succ: 2921545	  approx: 3.11631	 aceCnt2: 29996902	 succ2: 2919838	  approx2: 3.11449
k: 70000000	s: 42198691645	 aceCnt: 34999207	 succ: 3408377	  approx: 3.11623	 aceCnt2: 34995890	 succ2: 3407171	  approx2: 3.11513
k: 80000000	s: 47617914114	 aceCnt: 39999447	 succ: 3895122	  approx: 3.1161	 aceCnt2: 39993849	 succ2: 3894317	  approx2: 3.11545
k: 90000000	s: 137190823168	 aceCnt: 45001748	 succ: 4381794	  approx: 3.11594	 aceCnt2: 44994544	 succ2: 4381450	  approx2: 3.1157
k: 100000000	s: 94506212879	 aceCnt: 49999875	 succ: 4868986	  approx: 3.11615	 aceCnt2: 49996058	 succ2: 4868445	  approx2: 3.1158
k: 110000000	s: 5059121107	 aceCnt: 54998900	 succ: 5355094	  approx: 3.11569	 aceCnt2: 54995892	 succ2: 5355598	  approx2: 3.11598
k: 120000000	s: 148075768674	 aceCnt: 60003790	 succ: 5841896	  approx: 3.11568	 aceCnt2: 59994915	 succ2: 5842287	  approx2: 3.11589
k: 130000000	s: 39453948659	 aceCnt: 65003774	 succ: 6328986	  approx: 3.11581	 aceCnt2: 64992259	 succ2: 6328600	  approx2: 3.11562
k: 140000000	s: 31988215442	 aceCnt: 70003396	 succ: 6816102	  approx: 3.11593	 aceCnt2: 69991767	 succ2: 6814832	  approx2: 3.11535
k: 150000000	s: 148405542157	 aceCnt: 75003661	 succ: 7303011	  approx: 3.11595	 aceCnt2: 74992562	 succ2: 7301465	  approx2: 3.11529
k: 160000000	s: 12041742485	 aceCnt: 80003329	 succ: 7789747	  approx: 3.1159	 aceCnt2: 79990931	 succ2: 7788198	  approx2: 3.11528
k: 170000000	s: 63847749547	 aceCnt: 85002457	 succ: 8276135	  approx: 3.11572	 aceCnt2: 84991798	 succ2: 8275198	  approx2: 3.11537
k: 180000000	s: 327233144759	 aceCnt: 90001508	 succ: 8762768	  approx: 3.11565	 aceCnt2: 89991700	 succ2: 8762129	  approx2: 3.11542
k: 190000000	s: 16758427077	 aceCnt: 94998393	 succ: 9249502	  approx: 3.11562	 aceCnt2: 94991519	 succ2: 9248978	  approx2: 3.11545
k: 200000000	s: 82176668801	 aceCnt: 99998705	 succ: 9736195	  approx: 3.11558	 aceCnt2: 99989426	 succ2: 9736181	  approx2: 3.11558
k: 210000000	s: 196601665002	 aceCnt: 104997349	 succ: 10223537	  approx: 3.11574	 aceCnt2: 104990334	 succ2: 10223018	  approx2: 3.11559
k: 220000000	s: 137284896300	 aceCnt: 109996216	 succ: 10710889	  approx: 3.11589	 aceCnt2: 109990937	 succ2: 10709575	  approx2: 3.11551
k: 230000000	s: 204547075210	 aceCnt: 114995673	 succ: 11197397	  approx: 3.1158	 aceCnt2: 114992187	 succ2: 11196613	  approx2: 3.11558
k: 240000000	s: 178886609034	 aceCnt: 119994622	 succ: 11684151	  approx: 3.11577	 aceCnt2: 119992627	 succ2: 11683147	  approx2: 3.11551
k: 250000000	s: 226323677543	 aceCnt: 124994336	 succ: 12170852	  approx: 3.11574	 aceCnt2: 124992973	 succ2: 12169569	  approx2: 3.11541
k: 260000000	s: 170623301939	 aceCnt: 129992132	 succ: 12657769	  approx: 3.11576	 aceCnt2: 129991547	 succ2: 12656821	  approx2: 3.11553
k: 270000000	s: 195234665880	 aceCnt: 134993795	 succ: 13144303	  approx: 3.11569	 aceCnt2: 134991627	 succ2: 13143479	  approx2: 3.11549
k: 280000000	s: 288854802011	 aceCnt: 139995135	 succ: 13630722	  approx: 3.11559	 aceCnt2: 139990307	 succ2: 13630226	  approx2: 3.11548
k: 290000000	s: 922571655	 aceCnt: 144996053	 succ: 14117957	  approx: 3.11569	 aceCnt2: 144991308	 succ2: 14116928	  approx2: 3.11546
k: 300000000	s: 107125585877	 aceCnt: 149996859	 succ: 14605333	  approx: 3.1158	 aceCnt2: 149988576	 succ2: 14602989	  approx2: 3.1153
k: 310000000	s: 231014426801	 aceCnt: 154997258	 succ: 15091863	  approx: 3.11574	 aceCnt2: 154989651	 succ2: 15089680	  approx2: 3.11529
k: 320000000	s: 152443009450	 aceCnt: 159995679	 succ: 15578594	  approx: 3.11572	 aceCnt2: 159986730	 succ2: 15576436	  approx2: 3.11529
k: 330000000	s: 10082845467	 aceCnt: 164997242	 succ: 16065359	  approx: 3.11571	 aceCnt2: 164986865	 succ2: 16063146	  approx2: 3.11528
k: 340000000	s: 255069979262	 aceCnt: 169997140	 succ: 16551992	  approx: 3.11567	 aceCnt2: 169986653	 succ2: 16550447	  approx2: 3.11538
k: 350000000	s: 95083794367	 aceCnt: 174996457	 succ: 17038565	  approx: 3.11562	 aceCnt2: 174983959	 succ2: 17037376	  approx2: 3.11541
k: 360000000	s: 344589323017	 aceCnt: 179994361	 succ: 17525561	  approx: 3.11566	 aceCnt2: 179983652	 succ2: 17524221	  approx2: 3.11542
k: 370000000	s: 338077886376	 aceCnt: 184995387	 succ: 18012308	  approx: 3.11564	 aceCnt2: 184985162	 succ2: 18010944	  approx2: 3.11541
k: 380000000	s: 226582697803	 aceCnt: 189995271	 succ: 18498707	  approx: 3.11557	 aceCnt2: 189985388	 succ2: 18497665	  approx2: 3.1154
k: 390000000	s: 156171407571	 aceCnt: 194994574	 succ: 18985523	  approx: 3.11557	 aceCnt2: 194986596	 succ2: 18984190	  approx2: 3.11535
k: 400000000	s: 107860199469	 aceCnt: 199997333	 succ: 19472183	  approx: 3.11555	 aceCnt2: 199985718	 succ2: 19471544	  approx2: 3.11545
k: 410000000	s: 267334984332	 aceCnt: 204996945	 succ: 19959129	  approx: 3.11557	 aceCnt2: 204985170	 succ2: 19958498	  approx2: 3.11547
k: 420000000	s: 192162282009	 aceCnt: 209997096	 succ: 20446114	  approx: 3.1156	 aceCnt2: 209983951	 succ2: 20445107	  approx2: 3.11544
k: 430000000	s: 173780727019	 aceCnt: 215001260	 succ: 20933117	  approx: 3.11563	 aceCnt2: 214981402	 succ2: 20932471	  approx2: 3.11553
k: 440000000	s: 208941803682	 aceCnt: 220002161	 succ: 21420091	  approx: 3.11565	 aceCnt2: 219980163	 succ2: 21419333	  approx2: 3.11554
k: 450000000	s: 229415270137	 aceCnt: 225000560	 succ: 21907151	  approx: 3.11568	 aceCnt2: 224977806	 succ2: 21906555	  approx2: 3.1156
k: 460000000	s: 133955029858	 aceCnt: 230002151	 succ: 22393964	  approx: 3.11568	 aceCnt2: 229979516	 succ2: 22393044	  approx2: 3.11555
k: 470000000	s: 286233894829	 aceCnt: 235005192	 succ: 22880809	  approx: 3.11568	 aceCnt2: 234977935	 succ2: 22879791	  approx2: 3.11555
k: 480000000	s: 316596910936	 aceCnt: 240003042	 succ: 23367331	  approx: 3.11564	 aceCnt2: 239979490	 succ2: 23366581	  approx2: 3.11554
k: 490000000	s: 19627190701	 aceCnt: 245003339	 succ: 23854456	  approx: 3.11568	 aceCnt2: 244978445	 succ2: 23853363	  approx2: 3.11554
k: 500000000	s: 155201191230	 aceCnt: 250000968	 succ: 24341209	  approx: 3.11567	 aceCnt2: 249978292	 succ2: 24340015	  approx2: 3.11552
k: 510000000	s: 200384613815	 aceCnt: 254998649	 succ: 24827466	  approx: 3.1156	 aceCnt2: 254978271	 succ2: 24827169	  approx2: 3.11557
k: 520000000	s: 173416728397	 aceCnt: 260000569	 succ: 25314280	  approx: 3.1156	 aceCnt2: 259976251	 succ2: 25313527	  approx2: 3.11551
k: 530000000	s: 232209916339	 aceCnt: 265000599	 succ: 25800790	  approx: 3.11557	 aceCnt2: 264974501	 succ2: 25799898	  approx2: 3.11546
k: 540000000	s: 342411779701	 aceCnt: 270000832	 succ: 26287701	  approx: 3.11558	 aceCnt2: 269972752	 succ2: 26286614	  approx2: 3.11545
k: 550000000	s: 349725426150	 aceCnt: 275000081	 succ: 26774843	  approx: 3.11562	 aceCnt2: 274970146	 succ2: 26773709	  approx2: 3.11549
k: 560000000	s: 137876735871	 aceCnt: 280000633	 succ: 27261049	  approx: 3.11555	 aceCnt2: 279969647	 succ2: 27260246	  approx2: 3.11546
k: 570000000	s: 150683819904	 aceCnt: 285001114	 succ: 27747847	  approx: 3.11555	 aceCnt2: 284968343	 succ2: 27747236	  approx2: 3.11548
k: 580000000	s: 95955524990	 aceCnt: 289999683	 succ: 28235079	  approx: 3.11559	 aceCnt2: 289969544	 succ2: 28234422	  approx2: 3.11552
k: 590000000	s: 241936729018	 aceCnt: 295000590	 succ: 28721333	  approx: 3.11553	 aceCnt2: 294970444	 succ2: 28721398	  approx2: 3.11554
k: 600000000	s: 119702317476	 aceCnt: 300001138	 succ: 29207854	  approx: 3.1155	 aceCnt2: 299970654	 succ2: 29207809	  approx2: 3.1155
k: 610000000	s: 193970157127	 aceCnt: 305001502	 succ: 29693998	  approx: 3.11544	 aceCnt2: 304969678	 succ2: 29694463	  approx2: 3.11548
k: 620000000	s: 249220402506	 aceCnt: 310000298	 succ: 30180446	  approx: 3.1154	 aceCnt2: 309969973	 succ2: 30181608	  approx2: 3.11552
k: 630000000	s: 147665051802	 aceCnt: 314999046	 succ: 30667216	  approx: 3.1154	 aceCnt2: 314972062	 succ2: 30667980	  approx2: 3.11548
